Value,Default,Description
AUTH_PROTOCOL,oauth.idtoken,"The protocol to use for authentication. OAuth will require some integration work; “none” will disable authentication for devices. (If RVI is enabled, authentication is handled through RVI.)"
JWT_SECRET,,
SCOPES_DOMAIN,“”,Config option for a future feature. Currently unused.
DEVICE_REGISTRY_API_URI,http://localhost:8083,The location of the device registry api.
HOST,localhost,Host to listen for connections on.
PORT,8081,Port to listen on.
DEFAULT_NAMESPACE,default,"Default namespace to use, if not otherwise specified."
RESOLVER_DB_URL,jdbc:mariadb://localhost:3306/sota_resolver,The URL of the resolver database.
RESOLVER_DB_USER,sota,Username with access to the resolver database.
RESOLVER_DB_PASSWORD,s0ta,Password for resolver database user.
DB_NUM_THREADS,10,
DB_QUEUE_SIZE,1000,
DB_CONNECTION_TIMEOUT,1s,
DB_VALIDATION_TIMEOUT,1s,
RESOLVER_DB_MIGRATE,FALSE,"When set to true, runs database migrations on startup."
PACKAGES_VERSION_FORMAT,"""""""^\d+\.\d+\.\d+$""""""",A regular expression that package version numbers will be validated against.
