ID,Label,STRIDE Attribute,Assets,Interactions,Attack potential vector,Attack potential rating,Damage potential vector,Damage potential rating,Risk,Rationale,Description,Diagram
T01,Spoofing of Admin UI,Spoofing,Client credentials,Anyone -> Web API,[exp:pro/acc:unl/tim:day/equ:std/kno:pub],4,[fin:xxx/ope:xxx/saf:xxx],0,0,,A malicious person may try to gain administrator-level access to the web server's admin console to gain information about the system's structure.,Level 0 - Context Diagram
T02,Node sniffing,Information Disclosure,Client credentials,Anyone -> Web API,[exp:exp/acc:unl/tim:wee/equ:std/kno:pub],11,[fin:xxx/ope:xxx/saf:xxx],0,0,A node sniffer could intercept the credentials of all incoming client connections.,Sniffing software installed on the load balancing node may lead to the leak of the credentials of all clients connecting to the given cluster.,Level 0 - Context Diagram
T03,Invalid package configuration injection,Tampering,Vehicle installed software state,Admin UI -> Web API, ,0, ,0,0, ,An invalid combination of software packages or versions may be attempted to be installed in order to create exploits or vulnerabilities.,Level 0 - Context Diagram
T04,Repudiation of vehicle SW configuration ,Repudiation,Vehicle installed software state,Admin UI -> Web API,,,,,0,Javascript code running on the browser can be modified and a repudiation attack against a group of vehicles may be attempted.,A configuration that may create exploits or vulnerabilities on the vehicle's software environment may be injected and a modified web interface may be used to repudiate the traces of the installation of the malicious configuration to a group of vehicles.,Level 0 - Context Diagram
T05,Denial of Service attack,Denial of service,Quality of Service,Anyone -> Web API, ,0, ,0,0,An easy to orchestrate DOS attack may disrupt the system's operations.,A big amount of false or dummy requests from a malicious group may saturate the load balancer and prevent the service of legitimate clients.,Level 0 - Context Diagram
T06,Brute force password cracking,Elevation of Privilege,"Acces to vehicle data, vehicle installed software state",Admin UI -> Web API,,,,,0,Weak passwords may be cracked in a short amount of time with a password cracker.,"A password cracker may break an account and provide access to a malicious, unauthorized user.",Level 0 - Context Diagram
T07,Spoofing of External Resolver,Spoofing,Vehicle installed software state,External Resolver -> SOTA Server,,,,,0,A fake external resolver may be used to gain information about the SOTA server which may be used in a composite attack vector.,A malicious person may use a fake external resolver to gain information about the workings of the SOTA server and leak information about VINs and the software packages they have installed.,Level 0 - Context Diagram
T08,Tampering of package dependencies,Tampering,"Vehicle installed software state, vehicle software security",External Resolver -> SOTA Server,,,,,0,"A package that may open a backdoor, or that functions as a Trojan can be added as a package dependency.","A maliciously compiled dependency tree may include dependencies that open vulnerabilities or provide access to attackers, or it sets package versions knows to have bugs or open vulnerabilities.",Level 0 - Context Diagram
T09,Information leak of installed packages per VIN,Information Disclosure,Vehicle installed software state,External Resolver -> SOTA Server,,,,,0,,"A verbose API may reveal information on which software packages are installed on which vehicle, which is unecessary on a need-to-know basis.",Level 0 - Context Diagram
T10,RVI node spoofing ,Spoofing,Information on vehicle software state,SOTA Server -> RVI Node,,,,,0,A spoofed RVI node may crause a huge leak of sensitive information.,An RVI node may be spoofed and become a leaking sink for vehicle and package data.,Level 0 - Context Diagram
T11,Retrieving false package installation results,Tampering,"Package information, software configuration per VIN",RVI Node -> SOTA Server,,,,,0,Knowing or sending over to a spoofed vehicle softwae packages may help to analyze them and find potential attack vectors.,"A compromised RVI node may send incorrect status reports for package installation in order to skip the installation of bugfixes or exploit fixes, intercept packages and acquire information about VINs and their software configuration.",Level 0 - Context Diagram
T12,Denying the installation of a software package,Repudiation,Vehicle software security,RVI Node -> SOTA Server,,,,,0,A not installed package may leave backdoor and exploits open for attackers.,"A compromised RVI node may block the installation of security crucial software packages and return a false status that they were installed, leaving open security vulnerabilities.",Level 0 - Context Diagram
T13,RVI node sniffing,Information Disclosure,Vehicle installed software state,SOTA Server -> RVI Node,,,,,0,A node sniffer may intercept all VINs and their associated software packages.,"Sniffing software installed on a RVI node can intercept VINs, their configuration and the latest package configuration for every VIN.",Level 0 - Context Diagram
T14,Denial of Service attack,Denial of service,Service Availability,Anyone -> RVI Node,,,,,0,A DOS attack on the RVI node/s may block the installation of zero-days or other crucial updates and leave vehicles vulnerable for a prolonged period of time. ,A Denial-Of-Service (DOS) attack may  block the installation of software packages or updates.,Level 0 - Context Diagram
T15,Logistics & Provisioning API Spoofing,Spoofing,Vehicle software security,Logistics & Provisioning -> SOTA Server,,,,,0,Responses from a spoofed Logistics API may lead to the installation of malicious or vulnerable packages.,An attacker may used a spoofed Logistics API to install trojans or packages witgh known vulnerabilities.,Level 0 - Context Diagram
T16,Associating a part number with a malicious package,Tampering,Vehicle software security,Logistics & Provisioning -> SOTA Server,,,,,0,A malicious packaged related with a valid part number will be installed without any warning or any alarm raised.,An attacker may assign a valid part number to a malicious package which may provide backdoor or related system vulnerabilities after being installed.,Level 0 - Context Diagram
T17,"VIN, part number, configurations compromise",Information Disclosure,"Corporate data, vehicle software configuration, vehicle software security.",Logistics & Provisioning -> SOTA Server,,,,,0,Information leak may compromise sensitive corporate and vehicle data.,A malicious parson may try to intercept the data exchanged between the SOTA server and the Logistics & Provisioning API.,
T18,Charging & Billing API Spoofing,Spoofing,Financial loss,Charging & Billing -> SOTA Server,,,,,0,Responses from a spoofed Billing API may lead to the installation of updates for no or excessive cost.,An attacker may used a spoofed Billing API to install updates without being charged or by charging a third person excessively.,Level 0 - Context Diagram
T19,Associating an update with the wrong cost,Tampering,Financial loss,Charging & Billing -> SOTA Server,,,,,0, ,A compromised Charging & Billing endpoint may provide false charging information.,Level 0 - Context Diagram
T20,"VIN, configurations, financial information compromise",Information Disclosure,Financial loss,Charging & Billing -> SOTA Server,,,,,0,Information leak may compromise sensitive corporate and vehicle data.,A malicious parson may try to intercept the data exchanged between the SOTA server and the Charging & Billing API.,Level 0 - Context Diagram
T21,Spoofing SOTA Core Server,Spoofing,"User data, VINs, Package information, Vehicle configurations",SOTA Core Server -> MariaDB,,,,,0,A spoofed SOTA Server may retrieve most of the data stored in the datastore.,A spoofed SOTA Server may retrieve most of the sensitive data stored in the data store.,Level 1 - SOTA Server Context Diagram
T22,Persistence of false data ,Tampering,"User data, VINs, Package information, Vehicle configurations",Anyone -> MariaDB,,,,,0,Persisting false data in the datastore may open the door for more pervasive attack vectors.,A MariaDB client with access to the data store can manipulate the persisted data.,Level 1 - SOTA Server Context Diagram
T23,Compromise of sensitive data,Information Disclosure,"User data, VINs, Package information, Vehicle configurations",Anyone -> MariaDB,,,,,0,,"A MariaDB client with access to the data store, can retrieve all of the sensitive data stored in it.",Level 1 - SOTA Server Context Diagram
T24,Denial of Service attack,Denial of service,Service Availability,Anyone -> MariaDB,,,,,0, ,An attacker may orchestrate a Denial-Of-Service (DOS) attack to interrupt the system's operation or as part of a phisinh attack.,Level 1 - SOTA Server Context Diagram
T25,Getting admin rights,Elevation of Privilege,"User data, VINs, Package information, Vehicle configurations, data store state",Anyone -> MariaDB,,,,,0,"Getting administrator rights can lead to data theft, tampering and complete loss of data.","A malicious user may pursue elevating his access rights to administrator or superuser, allowing him to perform any arbitrary operation on the data store.",Level 1 - SOTA Server Context Diagram
T26,Spoofing Internal Resolver,Spoofing,"User data, VINs, Package information, Vehicle configurations",Internal Resolver -> MariaDB,,,,,0,A spoofed Internal Resolver may retrieve most of the data stored in the datastore.,A spoofed Internal Resolver may retrieve most of the sensitive data stored in the data store.,Level 1 - SOTA Server Context Diagram
T27,In-vehicle process spoofing,Spoofing,"VINs, Package information",Anyone -> SOTA Client,,,,,0,A third party process can intercept information about every package installed from an unsecured client.,A malicious in-vehicle process can attempt to exchange data with the SOTA Client and intercept information about the vehicle's software state.,Level 1 - SOTA Server Context Diagram
T28,SOTA Client sniffing,Tampering,"VINs, Package information",In vehicle process -> SOTA Client,,,,,0,A third party process may attempt to intercept the communication between the SOTA Client and the RVI node and alter the contents of the received data.,A malicious in-vehicle process can attempt to intercept the communication between the SOTA Client and the RVI Node and alter the contents of the messages before delivering them to the SOTA Client.,Level 1 - SOTA Server Context Diagram
T29,Denial of Service attack,Denial of service,Service Availability,Anyone -> SOTA Client,,,,,0, ,An attacker may orchestrate a Denial-Of-Service (DOS) attack to interrupt the system's operation or as part of a phisinh attack.,Level 1 - SOTA Server Context Diagram
 ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,, ,,,,
